項番	番号	都道府県	遺跡名	所在地	サンプル採取地点等	試料の種類	試料コード1	試料コード2	時代	時代詳細	時代コード	試料番号	測定方法	C14年代	C14年代±	暦年較正用C14年代	暦年較正用C14年代±	δ13C（AMS）	δ13C（AMS）±	δ13C（IRMS）	分析者（著者）	分析機関	刊行年	報告タイトル	ページ	備考	報告書名	発行者
1758	7148	13：東京都	西ヶ原貝塚	北区西ヶ原	6号人骨	人骨	T	b	縄文時代後期	----	B	PLD-18255	AMS法	3400	20	3400	21	----	----	-15.7	米田穣(東京大学大学院新領域創成科学研究科)	パレオ・ラボ	2011	西ヶ原貝塚出土人骨の同位体分析	61-64	----	東京都埋蔵文化財センター調査報告第262集　西ヶ原貝塚　第3分冊	財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
1759	4492	13：東京都	西ヶ原貝塚	北区西ヶ原	NKX12-D,グリット一括,土屋邸	土器付着物,焦,胴内	O	q	縄文時代中期	加曽利E3式	B	IAAA-31596	AMS法	4150	30	----	----	-24.19	0.79	----	学術創成研究グループ	加速器分析研究所	2009	地域別測定データ	139-524	TTKN-2	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
1760	7147	13：東京都	西ヶ原遺跡群地下鉄7号線西ヶ原駅(仮称)地区	北区西ヶ原	J101号土壙覆土6層中	炭化物	T	h	縄文時代	----	B	不明	AMS法	2420	160	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1990	14C年代測定	230	----	西ヶ原遺跡群　地下鉄7号線西ヶ原駅(仮称)地区の　調査　本文･表編	地下鉄7号線西ヶ原駅(仮称)遺跡調査団
1761	7154	13：東京都	西之台遺跡	小金井市中町	B地点　第Ⅸ層文化出土	木材	T	d	旧石器時代	----	A	I-8794	β線法	24740	1330	----	----	----	----	----	小田静夫	米国アイソトープ研究所	1980	14C年代測定	75	----	東京都埋蔵文化財調査報告第7集　西之台遺跡B地点	東京都教育庁生涯学習部文化課
1762	7153	13：東京都	西台後藤田遺跡	板橋区西台	Ⅵ層	泥炭	T	j	不明	----	A,B,C,D,E,F,G,H	PAL-236	β線法	4600	250	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	1999	縄文時代以降の遺跡周辺の古環境変遷ー環状八号線若木地区試掘資料を対象としてー	572-573	----	西台後藤田遺跡第1地点発掘調査報告書	都内第二遺跡調査会　西台遺跡調査団
1763	7152	13：東京都	西台後藤田遺跡	板橋区西台	最上部　しがらみ状遺構　杭材	木材	T	d	不明	----	A,B,C,D,E,F,G,H	PAL-235	β線法	MODERN	----	----	----	----	----	----	パリノ･サーヴェイ	パリノ･サーヴェイ	1999	縄文時代以降の遺跡周辺の古環境変遷ー環状八号線若木地区試掘資料を対象としてー	572-573	----	西台後藤田遺跡第1地点発掘調査報告書	都内第二遺跡調査会　西台遺跡調査団
1764	7369	13：東京都	西龍ヶ崎遺跡	あきる野市牛沼	1号住居跡	炭化材	T	f	不明	----	A,B,C,D,E,F,G,H	不明	AMS法	1310	50	----	----	----	----	-29.6	地球科学研究所	地球科学研究所	2000	放射性炭素年代測定報告書	357-358	----	東京都埋蔵文化財センター調査報告書第90集　代継･富士見台･西龍ヶ崎遺跡	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
1765	7370	13：東京都	西龍ヶ崎遺跡	あきる野市牛沼	1号住居跡	炭化材	T	f	不明	----	A,B,C,D,E,F,G,H	不明	AMS法	22870	150	----	----	----	----	-24.1	地球科学研究所	地球科学研究所	2000	放射性炭素年代測定報告書	357-358	----	東京都埋蔵文化財センター調査報告書第90集　代継･富士見台･西龍ヶ崎遺跡	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
1766	7155	13：東京都	西龍ヶ崎遺跡	あきる野市牛沼字西龍ヶ崎	第5次調査区5号集石　覆土中	炭化物	T	h	縄文時代	----	B	Beta-198455	AMS法	4520	40	----	----	----	----	-25.8	地球科学研究所	地球科学研究所	2005	縄文時代集石出土炭化物の放射性炭素年代測定	75-76	----	東京都埋蔵文化財センター発掘調査報告第164集　西龍ヶ崎遺跡	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
1767	7129	13：東京都	諏訪台･日暮里延命院貝塚	荒川区西日暮里	1号住居跡床面直上	炭化材(コナラ属コナラ亜属クヌギ節)	T	f	弥生時代末から古墳時代初頭頃	----	C,D	IAAA-111229	AMS法	1850	20	1853	24	-30.8	0.4	----	加速器分析研究所	加速器分析研究所	2012	諏訪台･日暮里延命院貝塚遺跡における放射性炭素年代(AMS測定)	14-16	----	諏訪台･日暮里延命院貝塚　西日暮里三丁目2番地点	荒川区教育委員会
1768	7128	13：東京都	諏訪台･日暮里延命院貝塚	荒川区西日暮里	1号住居跡床面直上	炭化材(コナラ属コナラ亜属クヌギ節)	T	f	弥生時代末から古墳時代初頭頃	----	C,D	IAAA-111228	AMS法	1850	20	1846	22	-29.06	0.36	----	加速器分析研究所	加速器分析研究所	2012	諏訪台･日暮里延命院貝塚遺跡における放射性炭素年代(AMS測定)	14-16	----	諏訪台･日暮里延命院貝塚　西日暮里三丁目2番地点	荒川区教育委員会
1769	7894	13：東京都	豊島馬場遺跡	北区王子	東壁Aセクション　Ⅷe層	木材(トネリコ属)	T	d	縄文時代中期	----	B	IAAA-121809	AMS法	4520	20	4519	23	-27.3	0.4	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2013	自然科学分析	48-59	----	豊島馬場遺跡−王子5丁目26番20号地点−	大成有楽不動産株式会社
1770	7892	13：東京都	豊沢貝塚	渋谷区恵比寿	80号3層(土坑内貝層)	貝殻(ハマグリ)	M	n	縄文時代	----	B	NU-1073	β線法	4295	80	----	----	----	----	----	小元久仁夫(日本大学)	日本大学年代測定室	1999	放射性炭素年代測定	182-183	----	豊沢貝塚　第2地点　発掘調査報告書	豊沢貝塚遺跡調査会
1771	7893	13：東京都	豊沢貝塚	渋谷区恵比寿	114号2層(土坑内貝層)	貝殻(ハマグリ)	M	n	縄文時代	----	B	NU-1074	β線法	4460	80	----	----	----	----	----	小元久仁夫(日本大学)	日本大学年代測定室	1999	放射性炭素年代測定	182-183	----	豊沢貝塚　第2地点　発掘調査報告書	豊沢貝塚遺跡調査会
1772	7890	13：東京都	豊沢貝塚	渋谷区恵比寿	2号住居6層(住居内貝層)	貝殻(マガキ)	M	n	縄文時代	黒浜期初頭	B	NU-1071	β線法	5065	85	----	----	----	----	----	小元久仁夫(日本大学)	日本大学年代測定室	1999	放射性炭素年代測定	182-183	----	豊沢貝塚　第2地点　発掘調査報告書	豊沢貝塚遺跡調査会
1773	7891	13：東京都	豊沢貝塚	渋谷区恵比寿	2号住居3層(住居内貝層)	貝殻(ハマグリ)	M	n	縄文時代	黒浜期初頭	B	NU-1072	β線法	5405	85	----	----	----	----	----	小元久仁夫(日本大学)	日本大学年代測定室	1999	放射性炭素年代測定	182-183	----	豊沢貝塚　第2地点　発掘調査報告書	豊沢貝塚遺跡調査会
1774	7889	13：東京都	豊沢貝塚	渋谷区恵比寿	6号住居(焼失住居)	炭化物	T	h	弥生時代後期後半	----	C	NU-1070	β線法	2240	70	----	----	----	----	----	小元久仁夫(日本大学)	日本大学年代測定室	1999	放射性炭素年代測定	182-183	----	豊沢貝塚　第2地点　発掘調査報告書	豊沢貝塚遺跡調査会
1775	7172	13：東京都	赤塚城跡遺跡	板橋区赤塚	12層最下部	木材遺体(モクレン属)	T	d	弥生時代	----	C	Gak-13977	β線法	1990	100	----	----	----	----	----	小山修司(パレオ･ラボ)	学習院大学理学部年代測定室	1992	赤塚城跡遺跡北側低地の地質と層序	36-45	----	文化財シリーズ第69集　赤塚城跡遺跡	板橋区教育委員会
1776	7173	13：東京都	赤塚城跡遺跡	板橋区赤塚	12層最下部	木本質泥炭	T	j	弥生時代	----	C	Gak-13978	β線法	2840	80	----	----	----	----	----	小山修司(パレオ･ラボ)	学習院大学理学部年代測定室	1992	赤塚城跡遺跡北側低地の地質と層序	36-45	----	文化財シリーズ第69集　赤塚城跡遺跡	板橋区教育委員会
1777	7174	13：東京都	赤塚城跡遺跡	板橋区赤塚	14層最下部	木本質泥炭〜草本質泥炭	T	j	縄文時代晩期初頭	安行Ⅲ式	B	Gak-13979	β線法	2990	100	----	----	----	----	----	小山修司(パレオ･ラボ)	学習院大学理学部年代測定室	1992	赤塚城跡遺跡北側低地の地質と層序	36-45	----	文化財シリーズ第69集　赤塚城跡遺跡	板橋区教育委員会
1778	7175	13：東京都	赤塚城跡遺跡	板橋区赤塚	19層最下部	有機質粘土	T	j	不明	----	A,B,C,D,E,F,G,H	Gak-13980	β線法	8040	190	----	----	----	----	----	小山修司(パレオ･ラボ)	学習院大学理学部年代測定室	1992	赤塚城跡遺跡北側低地の地質と層序	36-45	----	文化財シリーズ第69集　赤塚城跡遺跡	板橋区教育委員会
1779	7171	13：東京都	赤塚城跡遺跡	板橋区赤塚	10層最下部	草本質泥炭	T	j	弥生時代末から古墳時代初頭頃	----	C,D	Gak-13976	β線法	2140	100	----	----	----	----	----	小山修司(パレオ･ラボ)	学習院大学理学部年代測定室	1992	赤塚城跡遺跡北側低地の地質と層序	36-45	----	文化財シリーズ第69集　赤塚城跡遺跡	板橋区教育委員会
1780	7170	13：東京都	赤塚城跡遺跡	板橋区赤塚	9B層上部	黒泥状粘土	T	k	近世	----	G	Gak-13975	β線法	1310	100	----	----	----	----	----	小山修司(パレオ･ラボ)	学習院大学理学部年代測定室	1992	赤塚城跡遺跡北側低地の地質と層序	36-45	----	文化財シリーズ第69集　赤塚城跡遺跡	板橋区教育委員会
1781	7169	13：東京都	赤塚篠ヶ谷戸遺跡	板橋区赤塚	SI-2住居跡炉址内	炭化材(クヌギ節)	T	f	古墳時代	五領式，4世紀初頭	D	IAA-517	AMS法	1890	60	1895	64	----	----	-25.7	パリノ･サーヴェイ	加速器分析研究所	2005	自然科学分析	41-49	----	赤塚篠ヶ谷戸遺跡第2地点	加藤建設株式会社　並木不動産株式会社
1782	7168	13：東京都	赤塚篠ヶ谷戸遺跡	板橋区赤塚	SI-2住居跡炉址内	炭化材(クヌギ節)	T	f	古墳時代	五領式，4世紀初頭	D	IAA-516	AMS法	1830	70	1832	65	----	----	-26.9	パリノ･サーヴェイ	加速器分析研究所	2005	自然科学分析	41-49	----	赤塚篠ヶ谷戸遺跡第2地点	加藤建設株式会社　並木不動産株式会社
1783	7164	13：東京都	赤根遺跡	八王子市美山	3号集石土坑	炭化材(クリ)	T	f	縄文時代中期	----	B	PLD-524	β線法	4270	100	----	----	----	----	----	山形秀樹(パレオ･ラボ)	パレオ･ラボ	2000	放射性炭素年代測定	70-71	----	東京都埋蔵文化財センター調査報告第83集　赤根遺跡(C地区)	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
1784	7165	13：東京都	赤根遺跡	八王子市美山	2号集石土坑	炭化材(ニレ属)	T	f	縄文時代中期初頭	五領ヶ台式	B	PLD-525	β線法	4570	100	----	----	----	----	----	山形秀樹(パレオ･ラボ)	パレオ･ラボ	2000	放射性炭素年代測定	70-71	----	東京都埋蔵文化財センター調査報告第83集　赤根遺跡(C地区)	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
1785	7166	13：東京都	赤根遺跡	八王子市美山	2号集石土坑	炭化材(クリ)	T	f	縄文時代中期初頭	五領ヶ台式	B	PLD-526	β線法	4470	110	----	----	----	----	----	山形秀樹(パレオ･ラボ)	パレオ･ラボ	2000	放射性炭素年代測定	70-71	----	東京都埋蔵文化財センター調査報告第83集　赤根遺跡(C地区)	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
1786	7167	13：東京都	赤根遺跡	八王子市美山	2号集石土坑	炭化材(クリ)	T	f	縄文時代中期初頭	五領ヶ台式	B	PLD-527	β線法	5460	120	----	----	----	----	----	山形秀樹(パレオ･ラボ)	パレオ･ラボ	2000	放射性炭素年代測定	70-71	----	東京都埋蔵文化財センター調査報告第83集　赤根遺跡(C地区)	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
1787	7163	13：東京都	赤根遺跡	八王子市美山	3号集石土坑	炭化材(クリ)	T	f	縄文時代中期	----	B	PLD-523	β線法	4680	120	----	----	----	----	----	山形秀樹(パレオ･ラボ)	パレオ･ラボ	2000	放射性炭素年代測定	70-71	----	東京都埋蔵文化財センター調査報告第83集　赤根遺跡(C地区)	(財)東京都生涯学習文化財団　東京都埋蔵文化財センター
1788	7623	13：東京都	道合遺跡	北区赤羽台	203号住居址	炭化材(トネリコ属シオジ節)	T	f	弥生時代中期後半	宮ノ台式	C	PLD-26085	AMS法	2050	20	2051	22	-29.43	0.32	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2015	道合遺跡出土炭化材の放射性炭素年代測定	421-424	----	東京都埋蔵文化財センター調査報告第303集　道合遺跡　赤羽上ノ台遺跡　第1分冊	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
1789	7624	13：東京都	道合遺跡	北区赤羽台	203号住居址	炭化材(トネリコ属シオジ節)	T	f	弥生時代中期後半	宮ノ台式	C	PLD-26086	AMS法	2080	20	2078	18	-29.41	0.14	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2015	道合遺跡出土炭化材の放射性炭素年代測定	421-424	----	東京都埋蔵文化財センター調査報告第303集　道合遺跡　赤羽上ノ台遺跡　第1分冊	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
1790	7625	13：東京都	道合遺跡	北区赤羽台	203号住居址	炭化材(ハンノキ属)	T	f	弥生時代中期後半	宮ノ台式	C	PLD-26087	AMS法	2045	20	2044	18	-28.3	0.16	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2015	道合遺跡出土炭化材の放射性炭素年代測定	421-424	----	東京都埋蔵文化財センター調査報告第303集　道合遺跡　赤羽上ノ台遺跡　第1分冊	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
1791	7626	13：東京都	道合遺跡	北区赤羽台	213号住居跡	炭化材(コナラ属)	T	f	古墳時代後期	----	D	PLD-26088	AMS法	1700	20	1698	18	-28.8	0.17	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2015	道合遺跡出土炭化材の放射性炭素年代測定	421-424	----	東京都埋蔵文化財センター調査報告第303集　道合遺跡　赤羽上ノ台遺跡　第1分冊	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
1792	7627	13：東京都	道合遺跡	北区赤羽台	260号住居址	炭化材(コナラ属コナラ節)	T	f	古墳時代後期	6世紀前半代	D	PLD-26089	AMS法	1575	20	1577	19	-26.62	0.12	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2015	道合遺跡出土炭化材の放射性炭素年代測定	421-424	----	東京都埋蔵文化財センター調査報告第303集　道合遺跡　赤羽上ノ台遺跡　第1分冊	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
1793	7621	13：東京都	道合遺跡	北区赤羽台	65号土坑　覆土上部	貝殻(ハマグリ)	M	n	縄文時代後期前葉	堀之内1式	B	IAAA-120781	AMS法	4210	20	4209	24	-1.39	0.47	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2013	道合遺跡の放射性炭素年代測定	95-97	----	東京都埋蔵文化財センター調査報告第280集　道合遺跡	(公財)東京都スポーツ文化事業団　東京都埋蔵文化財センター
1794	7622	13：東京都	道合遺跡	北区赤羽台	199号住居跡	炭化材(クリ)	T	f	縄文時代前期中葉	黒浜式期	B	PLD-26084	AMS法	5345	30	5346	29	-29.36	0.37	----	パレオ･ラボAMS年代測定グループ	パレオ・ラボ	2015	道合遺跡出土炭化材の放射性炭素年代測定	421-424	----	東京都埋蔵文化財センター調査報告第303集　道合遺跡　赤羽上ノ台遺跡　第1分冊	公益財団法人東京都スポーツ文化事業団東京都埋蔵文化財センター
1795	7620	13：東京都	道合遺跡	北区赤羽台	74号土坑　底部から10cm	炭化材(クヌギ節)	T	f	縄文時代後期前葉	堀之内1式	B	IAAA-120780	AMS法	5220	30	5220	25	-26.84	0.36	----	パリノ･サーヴェイ	パリノ･サーヴェイ	2013	道合遺跡の放射性炭素年代測定	95-97	----	東京都埋蔵文化財センター調査報告第280集　道合遺跡	(公財)東京都スポーツ文化事業団　東京都埋蔵文化財センター
1796	3859	13：東京都	遠藤山遺跡	中野区	4住,火災住,41P-3甕内炭化物	炭化材,	T	f	弥生時代後期	----	C	MTC-10999	AMS法	1955	50	----	----	-20.2	5	----	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTNKE-C2	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
1797	3858	13：東京都	遠藤山遺跡	中野区	4住,火災住炭化材No.25	炭化材,	T	f	弥生時代後期	----	C	MTC-10998	AMS法	1945	40	----	----	-22.4	4	----	学術創成研究グループ	東京大学大学院工学系研究科タンデム加速器研究施設	2009	地域別測定データ	139-524	TTNKE-C1	弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書	国立歴史民俗博物館
1798	8025	13：東京都	野川中州北遺跡	小金井市中町	C区−①'　L-7-2西壁	土壌	T	k	旧石器時代	----	A	Gak-12917	β線法	&gt;35470	----	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1799	8010	13：東京都	野川中州北遺跡	小金井市中町	B区−①　D-7北壁	材	T	d	縄文時代草創期	----	B	Gak-12911	β線法	12860	230	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1800	8011	13：東京都	野川中州北遺跡	小金井市中町	B区−①　D-7北壁	クルミ	T	e	縄文時代草創期	----	B	Gak-12912	β線法	13200	220	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1801	8012	13：東京都	野川中州北遺跡	小金井市中町	A区−③　B-1-②'　南北ベルト	土壌	T	k	旧石器時代	----	A	Gak-12922	β線法	13610	170	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1802	8013	13：東京都	野川中州北遺跡	小金井市中町	A区　B-1-②　南北ベルト	材	T	d	旧石器時代	----	A	Gak-12921	β線法	13520	250	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1803	8014	13：東京都	野川中州北遺跡	小金井市中町	A区　a-①　南北トレンチ	材	T	d	旧石器時代	----	A	Gak-12926	β線法	13620	170	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1804	8016	13：東京都	野川中州北遺跡	小金井市中町	A区　B-1-③　北壁	材	T	d	旧石器時代	----	A	Gak-12923	β線法	14380	260	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1805	8017	13：東京都	野川中州北遺跡	小金井市中町	A区　B-1-④東西ベルト	材	T	d	旧石器時代	----	A	Gak-12925	β線法	15540	230	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1806	8018	13：東京都	野川中州北遺跡	小金井市中町	A区　B-1-①'東壁	材	T	d	旧石器時代	----	A	Gak-12920	β線法	15630	470	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1807	8019	13：東京都	野川中州北遺跡	小金井市中町	A区　a-②　南北トレンチ	材	T	d	旧石器時代	----	A	Gak-12927	β線法	18300	540	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1808	8020	13：東京都	野川中州北遺跡	小金井市中町	B区−③'　E-9	土壌	T	k	旧石器時代	----	A	Gak-12915	β線法	19000	1330	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1809	8021	13：東京都	野川中州北遺跡	小金井市中町	A区　B-1-①　東壁	材	T	d	旧石器時代	----	A	Gak-12919	β線法	19050	470	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1810	8022	13：東京都	野川中州北遺跡	小金井市中町	B区−③　E-9	材	T	d	旧石器時代	----	A	Gak-12914	β線法	21370	610	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1811	8023	13：東京都	野川中州北遺跡	小金井市中町	C区−②　L-7-2西壁	材	T	d	旧石器時代	----	A	Gak-12918	β線法	&gt;32500	----	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1812	8024	13：東京都	野川中州北遺跡	小金井市中町	C区−①　L-7-2西壁	材	T	d	旧石器時代	----	A	Gak-12916	β線法	33410	2180	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1813	8015	13：東京都	野川中州北遺跡	小金井市中町	A区　B-1-③'　北壁	土壌	T	k	旧石器時代	----	A	Gak-12924	β線法	13700	250	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1814	8009	13：東京都	野川中州北遺跡	小金井市中町	B区−②　D-7北壁	材	T	d	縄文時代草創期	----	B	Gak-12913	β線法	12330	360	----	----	----	----	----	パリノ･サーヴェイ	学習院大学理学部年代測定室	1989	植物化石層の14C年代測定	75	----	野川中州北遺跡−自然科学分析編−	小金井市遺跡調査会
1815	8088	13：東京都	鈴木遺跡	小平市鈴木	Ⅱd層	非加水分解性腐植	T	l	不明	----	A,B,C,D,E,F,G,H	N-3205	β線法	10400	145	----	----	----	----	----	山田裕(農林水産省)	社団法人日本アイソトープ協会	1980	鈴木遺跡土壌中の炭化物および非加水分解性腐植の14C年代	483-487	----	鈴木遺跡Ⅱ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1816	8079	13：東京都	鈴木遺跡	小平市鈴木	Ⅴ層	腐植酸	T	l	旧石器時代	----	A	N-2997	β線法	21200	355	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1817	8075	13：東京都	鈴木遺跡	小平市鈴木	Ⅱb層	腐植酸	T	l	縄文時代	----	B	N-2993	β線法	5860	100	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1818	8076	13：東京都	鈴木遺跡	小平市鈴木	Ⅱc層	腐植酸	T	l	縄文時代	----	B	N-2994	β線法	9510	125	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1819	8077	13：東京都	鈴木遺跡	小平市鈴木	Ⅱd層	全腐植	T	l	縄文時代	----	B	N-2995	β線法	10000	130	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1820	8078	13：東京都	鈴木遺跡	小平市鈴木	Ⅱd層	腐植酸	T	l	縄文時代	----	B	N-2996	β線法	10600	130	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1821	8073	13：東京都	鈴木遺跡	小平市鈴木	Ⅱa層	全腐植	T	l	不明	----	A,B,C,D,E,F,G,H	N-2991	β線法	1930	80	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1822	8074	13：東京都	鈴木遺跡	小平市鈴木	Ⅱa層	腐植酸	T	l	不明	----	A,B,C,D,E,F,G,H	N-2992	β線法	2090	85	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1823	8080	13：東京都	鈴木遺跡	小平市鈴木	Ⅸ層	腐植酸	T	l	旧石器時代	----	A	N-2998	β線法	25500	500	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1824	8081	13：東京都	鈴木遺跡	小平市鈴木	Ⅹ層	全腐植	T	l	旧石器時代	----	A	N-3090	β線法	17900	270	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1825	8082	13：東京都	鈴木遺跡	小平市鈴木	Ⅹ層	腐植酸	T	l	旧石器時代	----	A	N-2999	β線法	17300	185	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1826	8083	13：東京都	鈴木遺跡	小平市鈴木	Ⅹ層	フルボ酸	T	l	旧石器時代	----	A	N-3000	β線法	18000	240	----	----	----	----	----	山田裕(農林省)	社団法人日本アイソトープ協会	1978	鈴木遺跡の腐植の14C年代測定	436-440	----	鈴木遺跡Ⅰ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
1827	8084	13：東京都	鈴木遺跡	小平市鈴木	Neグリッド　Ⅲ層	炭化物	T	h	旧石器時代	----	A	Gak-7618	β線法	10930	420	----	----	----	----	----	山田裕(農林水産省)	学習院大学理学部年代測定室	1980	鈴木遺跡土壌中の炭化物および非加水分解性腐植の14C年代	483-487	----	鈴木遺跡Ⅱ　都市計画道路小平2･1･3号線内	小平市鈴木遺跡調査会
